transaction_id,sale_date,product_id,type of prduct,items_sold,unit_price,total_amount,first_name,last_name,customer_email,customer_address
KHUXJYJR31,2020-02-11,c08078805,Prelude Workstation,1,398.72,398.72,Alexander,Morgan,Alexander.Morgan@collins.com,"4739 Robert CornersLake Mark, VI 58902"
BZCPR4VV5W,2012-06-15,z0888728,Gravity Laptop,4,938.02,3752.08,Heather,Sanchez,Heather.Sanchez@carter.info,"7034 Thomas BurgJeffreymouth, VT 54356"
9TIC13O60T,2015-06-06,d0888728,Prelude Workstation,10,436.78,4367.8,Stuart,Johnson,Stuart.Johnson@conway-reilly.org,"5229 Kathryn CourtWest Christopherfort, AZ 35176"
83BCCC6HNL,2019-06-01,y234324,Gravity Laptop,10,1045.5,10455.0,Kimberly,Smith,Kimberly.Smith@moore.info,"8469 Roy RoadPort Christophertown, VT 90363"
CCYMOUHJQW,2021-08-23,z0888728,Gravity Laptop,6,938.02,5628.12,George,Fox,George.Fox@murphy-munoz.com,"98071 Wendy Mountain Apt. 135Maryview, IN 46493"
UOVIB9WPJB,2016-08-09,d0888728,Prelude Workstation,10,436.78,4367.8,Alexander,Newton,Alexander.Newton@turner-jackson.com,"873 Jones StreetSouth Vincent, MH 33712"
Z5N1GM2IDZ,2014-02-16,c08078805,Prelude Workstation,8,398.72,3189.76,Vanessa,Little,Vanessa.Little@bennett.com,"PSC 1973, Box 7769APO AP 54207"
I2C9A4S69Y,2016-09-23,c0888728,Ascend Workstation,10,1470.08,14700.8,Ariana,Hines,Ariana.Hines@barnes.com,"75085 Bond StreetRobertfort, RI 28631"
55VGPOZFTQ,2022-12-06,d0888728,Prelude Workstation,3,436.78,1310.34,Paige,Thompson,Paige.Thompson@anderson.biz,"76056 Gonzales Neck Apt. 607Lake Teresa, FM 58788"
BUJFTNCRHX,2021-12-18,e0888728,Inspiron Laptop,7,1923.2,13462.4,Patricia,Morrison,Patricia.Morrison@white-white.org,"54660 Lane Drive Apt. 111Krausehaven, ME 47357"
transaction_id,sale_date,product_id,type of prduct,items_sold,unit_price,total_amount,first_name,last_name,customer_email,customer_address
45O1XR8K4Q,2020-04-26,y234324,Prelude Workstation,9,584.94,5264.46,Jennifer,Lopez,Jennifer.Lopez@cole-avila.com,"0055 Joshua Island Suite 517New Lisa, SC 05924"
PNXYVD6BD6,2019-11-11,d0888728,Gravity Laptop,3,430.35,1291.05,Angelica,Wood,Angelica.Wood@lee-coleman.com,"301 Orr LandingLake Jared, VI 19162"
5ZIX68X8EL,2019-06-21,c0888728,Infinity Laptop,4,1051.57,4206.28,Kenneth,Torres,Kenneth.Torres@ritter.com,"9786 Bonnie Road Apt. 412Paynefurt, ID 66892"
CZAZ68WFI5,2014-10-25,c08078805,Inspiron Laptop,6,569.9,3419.4,Lori,Hood,Lori.Hood@powell.com,"610 Dominguez Parkways Apt. 980Floreston, IA 17940"
F6T1UEVJHE,2016-03-31,b0888728,Gravity Laptop,3,1816.99,5450.97,Warren,Yoder,Warren.Yoder@erickson-miller.net,"109 Smith LodgeAshleyhaven, NC 18698"
OZ357XTIXY,2012-09-08,c08078805,Inspiron Laptop,5,569.9,2849.5,Billy,Davis,Billy.Davis@stevens-hall.com,"077 Zachary Tunnel Suite 856Hallville, MO 82171"
CWXKECMEO4,2020-11-14,d0888728,Gravity Laptop,8,430.35,3442.8,Craig,Edwards,Craig.Edwards@hernandez.biz,"057 Craig Shoal Suite 198Curtistown, ND 54771"
3T9FIPNYXT,2018-06-24,c08078805,Inspiron Laptop,6,569.9,3419.4,Sara,Gaines,Sara.Gaines@walker.com,"4104 Lewis Walk Apt. 314West Brian, AK 50614"
4Q2F4M23S4,2022-08-12,c0888728,Infinity Laptop,2,1051.57,2103.14,Hannah,Bailey,Hannah.Bailey@ward-lopez.info,"273 Randolph BrookPort Brianna, MD 07614"
IX4YDVZXCM,2016-11-15,c0888728,Infinity Laptop,3,1051.57,3154.71,Adrian,Thomas,Adrian.Thomas@taylor-bryant.com,"1419 Bates Streets Apt. 636Briggsport, WI 88851"
PNMTXUHVYY,2018-07-05,y234324,Prelude Workstation,5,584.94,2924.7,Jessica,Wallace,Jessica.Wallace@sanders-dominguez.com,"2130 Scott TerraceBarryborough, LA 25406"
DN0XSBJVRL,2015-12-31,c08078805,Inspiron Laptop,1,569.9,569.9,Meagan,Holt,Meagan.Holt@erickson.org,"87638 Virginia Courts Apt. 155New Kaitlin, PA 08184"
